variable,AUC,Infectious period,Aggregation period
Variance,1.0,-weekly,-weekly
Var. 1st Diff,0.969357,-weekly,-weekly
Autocovar.,1.0,-weekly,-weekly
Autocorr.,0.999486,-weekly,-weekly
Decay time,0.999486,-weekly,-weekly
Mean,1.0,-weekly,-weekly
Index of Dis.,0.999978,-weekly,-weekly
Coeff. Var,0.178089,-weekly,-weekly
Skewness,0.4803885,-weekly,-weekly
Kurtosis,0.440512,-weekly,-weekly
Variance,0.999946,-weekly,-monthly
Var. 1st Diff,0.997332,-weekly,-monthly
Autocovar.,0.983073,-weekly,-monthly
Autocorr.,0.954323,-weekly,-monthly
Decay time,0.9567871485943775,-weekly,-monthly
Mean,0.99937,-weekly,-monthly
Index of Dis.,0.997708,-weekly,-monthly
Coeff. Var,0.511385,-weekly,-monthly
Skewness,0.6419815,-weekly,-monthly
Kurtosis,0.626932,-weekly,-monthly
Variance,0.999988,-monthly,-weekly
Var. 1st Diff,0.933472,-monthly,-weekly
Autocovar.,0.999978,-monthly,-weekly
Autocorr.,0.9645775,-monthly,-weekly
Decay time,0.9645775,-monthly,-weekly
Mean,1.0,-monthly,-weekly
Index of Dis.,0.97797,-monthly,-weekly
Coeff. Var,0.053764,-monthly,-weekly
Skewness,0.4626115,-monthly,-weekly
Kurtosis,0.358924,-monthly,-weekly
Variance,0.999798,-monthly,-monthly
Var. 1st Diff,0.98902350000000006,-monthly,-monthly
Autocovar.,0.998617,-monthly,-monthly
Autocorr.,0.96134,-monthly,-monthly
Decay time,0.961336,-monthly,-monthly
Mean,0.999955,-monthly,-monthly
Index of Dis.,0.9875985,-monthly,-monthly
Coeff. Var,0.4342815,-monthly,-monthly
Skewness,0.6457565,-monthly,-monthly
Kurtosis,0.554788,-monthly,-monthly
